Time,Motion
16.708027,227.85712
16.72438,227.82068
16.742235,227.82068
16.758165,227.82068
16.774967,227.05768
16.791842,227.05768
16.810528,228.04266
16.824167,228.04266
16.842455,228.04266
16.85901,227.40308
16.875149,227.40308
16.89369,226.58826
16.908716,226.58826
16.925056,225.38464
16.942429,225.38464
16.957277,225.38464
16.976828,225.7898
16.991732,225.7898
17.009096,227.05731
17.025991,227.05731
17.041357,227.05731
17.058685,226.88232
17.074873,226.88232
17.093124,226.10895
17.108103,226.10895
17.124765,225.80292
17.142529,225.80292
17.15826,225.80292
17.176363,226.19482
17.192318,226.19482
17.210102,225.59625
17.225,225.59625
17.242952,225.59625
17.259325,226.80432
17.27499,226.80432
17.29285,225.4173
17.308887,225.4173
17.32512,226.84851
17.34323,226.84851
17.358248,226.84851
17.3763,225.73285
17.392254,225.73285
17.41281,225.83441
17.424177,225.83441
17.442139,225.83441
17.459715,226.4538
17.47501,226.4538
17.493181,224.57239
17.50776,224.57239
17.525358,224.6012
17.542519,224.6012
17.55857,224.6012
17.577002,224.20752
17.592052,224.20752
17.608223,224.18182
17.6241,224.18182
17.641283,224.18182
17.659193,223.66669
17.676262,223.66669
17.693037,224.22668
17.708405,224.22668
17.727442,223.44293
17.742575,223.44293
17.758013,223.44293
17.780146,223.3675
17.792141,223.3675
17.808977,223.89307
17.825323,223.89307
17.84256,223.89307
17.861721,222.3487
17.874784,222.3487
17.895441,221.60376
17.909204,221.60376
17.92518,221.17712
17.943354,221.17712
17.957745,221.17712
17.975872,219.94629
17.991869,219.94629
18.009193,219.30591
18.025433,219.30591
18.041876,219.30591
18.059322,217.8805
18.074657,217.8805
18.092888,216.57501
18.107681,216.57501
18.124989,214.93292
18.142567,214.93292
18.15809,214.93292
18.175581,213.23297
18.191353,213.23297
18.208303,212.72559
18.224365,212.72559
18.24115,212.72559
18.259394,212.13043
18.274931,212.13043
18.294163,210.67444
18.3071,210.67444
18.324387,208.32654
18.341965,208.32654
18.358194,208.32654
18.375484,207.98767
18.390667,207.98767
18.408762,206.91925
18.424675,206.91925
18.44085,206.91925
18.458931,205.14874
18.475018,205.14874
18.494114,204.95654
18.508192,204.95654
18.52515,202.92029
18.544182,202.92029
18.558865,202.92029
18.575619,202.45392
18.592142,202.45392
18.609322,200.91608
18.624483,200.91608
18.641827,200.91608
18.660532,199.00891
18.675812,199.00891
18.693254,199.87396
18.708572,199.87396
18.72488,199.0
18.742626,199.0
18.759066,199.0
18.776434,199.56738
18.791857,199.56738
18.809504,196.9173
18.824324,196.9173
18.841606,196.9173
18.860134,197.29486
18.875053,197.29486
18.893791,196.43701
18.90846,196.43701
18.929022,196.43701
18.946194,194.86206
18.959711,194.86206
18.976585,193.81873
18.990387,193.81873
19.00912,191.2135
19.02448,191.2135
19.041836,191.2135
19.05835,189.71765
19.075823,189.71765
19.093874,187.0979
19.109735,187.0979
19.125305,186.32886
19.141726,186.32886
19.158266,186.32886
19.177582,185.4823
19.191818,185.4823
19.214458,184.58502
19.224642,184.58502
19.24142,184.58502
19.260265,182.43304
19.275354,182.43304
19.29382,181.75818
19.308332,181.75818
19.325876,180.8487
19.342459,180.8487
19.35818,180.8487
19.37661,179.84613
19.391304,179.84613
19.409632,179.99261
19.424097,179.99261
19.44134,179.99261
19.461994,179.06409
19.47827,179.06409
19.494232,178.58862
19.510204,178.58862
19.52497,177.38892
19.54323,177.38892
19.559538,177.38892
19.578444,177.38892
19.596472,176.78668
19.614103,176.07092
19.624973,176.07092
19.642107,176.07092
19.65962,175.41608
19.67496,175.41608
19.693329,174.6242
19.7083,174.6242
19.726519,173.9718
19.742008,173.9718
19.758398,173.9718
19.776197,173.53192
19.79224,173.53192
19.813343,172.92804
19.824974,172.92804
19.842316,172.92804
19.859926,171.95032
19.87502,171.95032
19.896267,170.7351
19.908186,170.7351
19.925377,171.12903
19.944792,171.12903
19.958942,171.12903
19.97598,171.21771
19.991732,171.21771
20.00937,171.93195
20.024931,171.93195
20.04174,171.93195
20.059574,170.71777
20.07501,170.71777
20.093176,169.89581
20.108969,169.89581
20.132391,169.46625
20.14609,169.46625
20.160988,169.46625
20.178755,168.46326
20.19332,168.46326
20.210014,168.90778
20.225412,168.90778
20.242529,168.90778
20.257883,168.9552
20.276217,168.9552
20.29304,168.55884
20.308428,168.55884
20.32545,168.19641
20.34213,168.19641
20.377121,168.85962
20.391382,168.85962
20.405794,168.22058
20.419918,168.22058
20.43652,168.22058
20.45407,168.85925
20.469357,168.85925
20.486135,169.33588
20.502905,169.33588
20.51822,169.33588
20.537739,170.30487
20.552946,170.30487
20.570475,170.7273
20.586123,170.7273
20.602697,170.7273
20.620443,171.3092
20.63578,171.3092
20.654474,171.50342
20.668577,171.50342
20.686424,171.02942
20.703468,171.02942
20.718266,171.02942
20.737154,170.30066
20.75125,170.30066
20.774153,171.021
20.787462,171.021
20.80244,171.021
20.824333,171.0282
20.838936,171.0282
20.856281,170.76758
20.870346,170.76758
20.888945,170.55396
20.903444,170.55396
20.919102,170.55396
20.938276,171.3158
20.951649,171.3158
20.975042,172.17792
20.9859,172.17792
21.001812,172.17792
21.020456,171.43225
21.035048,171.43225
21.054054,172.24341
21.070019,172.24341
21.087263,171.71082
21.104477,171.71082
21.119637,171.71082
21.137936,171.57574
21.152142,171.57574
21.170933,172.03497
21.185995,172.03497
21.202284,172.03497
21.219225,171.93793
21.23653,171.93793
21.2546,172.06293
21.269266,172.06293
21.284462,172.19861
21.303621,172.19861
21.318472,172.19861
21.336836,171.67151
21.352415,171.67151
21.369612,171.79022
21.385445,171.79022
21.401556,171.79022
21.419712,172.0
21.43545,172.0
21.453566,171.78668
21.469095,171.78668
21.485815,171.99323
21.502728,171.99323
21.51783,171.99323
21.53698,171.18939
21.55207,171.18939
21.56979,171.71893
21.585026,171.71893
21.601349,171.71893
21.621056,172.04108
21.636486,172.04108
21.654228,172.30597
21.668951,172.30597
21.689297,172.0216
21.704018,172.0216
21.718914,172.0216
21.737442,171.23224
21.7533,171.23224
21.774288,171.01794
21.785429,171.01794
21.802507,171.01794
21.820974,170.98303
21.836231,170.98303
21.85385,170.07361
21.868761,170.07361
21.887056,172.52942
21.903614,172.52942
21.91939,172.52942
21.937359,171.8418
21.951895,171.8418
21.974895,170.27545
21.986494,170.27545
22.001701,170.27545
22.020494,170.73334
22.035955,170.73334
22.054102,170.3913
22.068779,170.3913
22.087378,171.10193
22.104177,171.10193
22.118704,171.10193
22.13824,170.55151
22.151772,170.55151
22.170937,170.95392
22.185246,170.95392
22.201992,170.95392
22.219776,170.64288
22.235792,170.64288
22.255539,169.73132
22.268679,169.73132
22.28596,169.99335
22.304428,169.99335
22.31972,169.99335
22.33694,170.2215
22.352549,170.2215
22.36971,171.87592
22.385086,171.87592
