FSR,IR
368.00,126.00
368.00,125.00
358.00,190.00
368.00,126.00
368.00,126.00
365.00,171.00
366.00,125.00
365.00,126.00
366.00,108.00
366.00,125.00
366.00,126.00
364.00,126.00
363.00,126.00
365.00,127.00
364.00,125.00
364.00,125.00
363.00,126.00
356.00,126.00
358.00,125.00
352.00,175.00
355.00,125.00
355.00,126.00
354.00,126.00
355.00,126.00
354.00,127.00
355.00,126.00
353.00,126.00
356.00,127.00
353.00,126.00
354.00,125.00
348.00,127.00
351.00,125.00
351.00,125.00
342.00,191.00
350.00,125.00
351.00,125.00
351.00,170.00
338.00,125.00
351.00,125.00
349.00,108.00
350.00,126.00
351.00,127.00
347.00,125.00
347.00,125.00
349.00,127.00
348.00,125.00
347.00,126.00
344.00,191.00
349.00,125.00
350.00,125.00
341.00,175.00
342.00,125.00
343.00,126.00
344.00,106.00
345.00,125.00
343.00,127.00
345.00,124.00
343.00,125.00
342.00,126.00
343.00,125.00
338.00,126.00
338.00,127.00
341.00,126.00
343.00,126.00
345.00,125.00
344.00,125.00
344.00,125.00
344.00,169.00
344.00,125.00
347.00,125.00
344.00,126.00
352.00,126.00
340.00,128.00
334.00,125.00
334.00,126.00
335.00,127.00
333.00,126.00
328.00,126.00
320.00,189.00
326.00,125.00
324.00,126.00
320.00,172.00
320.00,125.00
316.00,126.00
311.00,108.00
309.00,125.00
309.00,126.00
306.00,125.00
303.00,125.00
307.00,127.00
298.00,125.00
293.00,125.00
282.00,130.00
287.00,122.00
275.00,122.00
272.00,173.00
266.00,122.00
268.00,126.00
265.00,106.00
267.00,121.00
265.00,121.00
262.00,122.00
254.00,121.00
254.00,122.00
244.00,121.00
242.00,121.00
241.00,122.00
240.00,121.00
236.00,121.00
224.00,175.00
235.00,121.00
234.00,122.00
230.00,122.00
224.00,121.00
222.00,122.00
220.00,112.00
223.00,122.00
225.00,123.00
222.00,122.00
221.00,122.00
215.00,125.00
216.00,121.00
220.00,121.00
220.00,187.00
217.00,121.00
215.00,121.00
210.00,168.00
212.00,121.00
209.00,122.00
207.00,102.00
204.00,121.00
203.00,121.00
204.00,121.00
205.00,121.00
213.00,122.00
200.00,122.00
199.00,121.00
196.00,121.00
195.00,121.00
196.00,121.00
192.00,175.00
193.00,121.00
194.00,121.00
191.00,122.00
183.00,121.00
170.00,122.00
152.00,120.00
143.00,121.00
136.00,121.00
135.00,121.00
134.00,121.00
131.00,127.00
131.00,121.00
127.00,121.00
126.00,121.00
128.00,121.00
131.00,122.00
130.00,168.00
132.00,121.00
133.00,122.00
127.00,121.00
127.00,121.00
123.00,122.00
121.00,121.00
121.00,121.00
127.00,123.00
122.00,121.00
122.00,122.00
114.00,187.00
118.00,121.00
118.00,121.00
104.00,175.00
119.00,121.00
119.00,121.00
